id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
164334,Myanmar,MMR,17.059429,96.113388,"[17.059429, 96.113388]",Recommended figure,Conflict,total,100,2024-09-30,2024-09-23,2024-09-30,2024,26318,Myanmar: Non-International armed conflict (NIAC) - Yangon Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111526,"Yangon, Myanmar","17.059429, 96.113388",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-10-04T09:41:10.485872Z,"Myanmar: 100 displacements, 23 September - 30 September. Non-international armed conflict (niac) resulted in a total of 100 people being displaced in Yangon on 23 September, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111526,Conflict
164338,Myanmar,MMR,24.47151,95.465286,"[24.47151, 95.465286]",Recommended figure,Conflict,total,900,2024-09-30,2024-09-23,2024-09-30,2024,21078,Myanmar: Non-International armed conflict (NIAC) - Sagaing Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111526,"Sagaing, Myanmar","24.47151, 95.465286",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-10-04T09:41:10.827337Z,"Myanmar: 900 displacements, 23 September - 30 September. A total of 900 people were displaced due to non-international armed conflict (niac) on 23 September in Sagaing, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111526,Conflict
164337,Myanmar,MMR,19.40822,94.100594,"[19.40822, 94.100594]",Recommended figure,Conflict,total,600,2024-09-30,2024-09-23,2024-09-30,2024,21080,Myanmar: Non-International armed conflict (NIAC) - Rakhine State (Central & North) - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111526,"Rakhine, Myanmar","19.40822, 94.100594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-10-04T09:41:10.763374Z,"Myanmar: 600 displacements, 23 September - 30 September. Non-international armed conflict (niac) resulted in a total of 600 people being displaced in Rakhine Central on 23 September, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111526,Conflict
164336,Myanmar,MMR,26.020769,97.491928,"[26.020769, 97.491928]",Recommended figure,Conflict,total,3000,2024-09-30,2024-09-23,2024-09-30,2024,21077,Myanmar: Non-International armed conflict (NIAC) - Kachin State - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111526,"Kachin State, Myanmar","26.020769, 97.491928",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-10-04T09:41:10.601513Z,"Myanmar: 3,000 displacements, 23 September - 30 September. According to UNHCR Myanmar, a total of 3000 people were displaced in Kachin State due to non-international armed conflict (niac) on 23 September",https://data.unhcr.org/en/documents/details/111526,Conflict
164335,Myanmar,MMR,12.27192,98.489594,"[12.27192, 98.489594]",Recommended figure,Conflict,total,100,2024-09-30,2024-09-23,2024-09-30,2024,21081,Myanmar: Non-International armed conflict (NIAC) - Tanintharyi Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111526,"Tanintharyi Region, Myanmar","12.27192, 98.489594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-10-04T09:41:10.540076Z,"Myanmar: 100 displacements, 23 September - 30 September. According to UNHCR Myanmar, a total of 100 people were displaced in Tanintharyi Region due to non-international armed conflict (niac) on 23 September",https://data.unhcr.org/en/documents/details/111526,Conflict
162875,Myanmar,MMR,17.059429,96.113388,"[17.059429, 96.113388]",Recommended figure,Conflict,total,200,2024-09-23,2024-09-16,2024-09-23,2024,26318,Myanmar: Non-International armed conflict (NIAC) - Yangon Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Yangon, Myanmar","17.059429, 96.113388",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.641024Z,"Myanmar: 200 displacements, 16 September - 23 September. A total of 200 people were displaced due to non-international armed conflict (niac) on 16 September in Yangon, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111435,Conflict
162878,Myanmar,MMR,22.01824,93.503799,"[22.01824, 93.503799]",Recommended figure,Conflict,total,300,2024-09-23,2024-09-16,2024-09-23,2024,21085,Myanmar: Non-International armed conflict (NIAC) - Chin State - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Chin State, Myanmar","22.01824, 93.503799",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.823895Z,"Myanmar: 300 displacements, 16 September - 23 September. According to UNHCR Myanmar, a total of 300 people were displaced in Chin State due to non-international armed conflict (niac) on 16 September",https://data.unhcr.org/en/documents/details/111435,Conflict
162879,Myanmar,MMR,12.27192,98.489594,"[12.27192, 98.489594]",Recommended figure,Conflict,total,2700,2024-09-23,2024-09-16,2024-09-23,2024,21081,Myanmar: Non-International armed conflict (NIAC) - Tanintharyi Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Tanintharyi Region, Myanmar","12.27192, 98.489594",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.872438Z,"Myanmar: 2,700 displacements, 16 September - 23 September. According to UNHCR Myanmar, a total of 2700 people were displaced in Tanintharyi Region due to non-international armed conflict (niac) on 16 September",https://data.unhcr.org/en/documents/details/111435,Conflict
162876,Myanmar,MMR,18.32782,95.64238,"[18.32782, 95.64238]",Recommended figure,Conflict,total,3500,2024-09-23,2024-09-16,2024-09-23,2024,21083,Myanmar: Non-International armed conflict (NIAC) - Bago Region (East & West) - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"West Bago Region, Bago Region, Myanmar","18.32782, 95.64238",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.732170Z,"Myanmar: 3,500 displacements, 16 September - 23 September. According to UNHCR Myanmar, a total of 3500 people were displaced in West Bago Region due to non-international armed conflict (niac) on 16 September",https://data.unhcr.org/en/documents/details/111435,Conflict
162881,Myanmar,MMR,20.274799,94.736221,"[20.274799, 94.736221]",Recommended figure,Conflict,total,1200,2024-09-23,2024-09-16,2024-09-23,2024,21079,Myanmar: Non-International armed conflict (NIAC) - Magway Region - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Magway Region, Myanmar","20.274799, 94.736221",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:27.015818Z,"Myanmar: 1,200 displacements, 16 September - 23 September. A total of 1200 people were displaced due to non-international armed conflict (niac) on 16 September in Magway Region, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111435,Conflict
162880,Myanmar,MMR,17.18631,97.749931,"[17.18631, 97.749931]",Recommended figure,Conflict,total,3900,2024-09-23,2024-09-16,2024-09-23,2024,21084,Myanmar: Non-International armed conflict (NIAC) - Kayin State - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Kayin State, Myanmar","17.18631, 97.749931",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.934627Z,"Myanmar: 3,900 displacements, 16 September - 23 September. According to UNHCR Myanmar, a total of 3900 people were displaced in Kayin State due to non-international armed conflict (niac) on 16 September",https://data.unhcr.org/en/documents/details/111435,Conflict
162877,Myanmar,MMR,17.08325,97.333733,"[17.08325, 97.333733]",Recommended figure,Conflict,total,100,2024-09-23,2024-09-16,2024-09-23,2024,21082,Myanmar: Non-International armed conflict (NIAC) - Mon State - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,UNHCR Myanmar,https://data.unhcr.org/en/documents/details/111435,"Mon State, Myanmar","17.08325, 97.333733",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2024-09-27T09:18:26.779034Z,"Myanmar: 100 displacements, 16 September - 23 September. Non-international armed conflict (niac) resulted in a total of 100 people being displaced in Mon State on 16 September, according to UNHCR Myanmar.",https://data.unhcr.org/en/documents/details/111435,Conflict
